County,Fips,start_date,a,B,p,a_e,B_e,p_e
Autauga County,01001,2020-03-25,0.039453177278063245,26.087536924115174,55.79377510136219,0.005707898845394054,5.160057968848095,13.032550622136233
Baldwin County,01003,2020-03-15,0.06670993624086932,30.34336107961032,163.39988470363778,0.002557666614826703,0.6078235439522276,6.474413941251088
Barbour County,01005,2020-04-04,0.03722409939196694,50.297601528160094,583.7583356699176,0.021994291139456442,51.75818069302188,2126.552684063077
Bibb County,01007,2020-03-31,0.06147408464445346,20.778402519953264,59.83759785785052,0.005792935573781065,2.205548368691123,9.265845444192758
Blount County,01009,2020-03-26,0.009812121565047963,362.5736637443799,15810549.856511693,0.016641795164404106,1213.775990659695,686833967.9996986
Bullock County,01011,2020-03-27,0.01010619223101475,364.7797175211403,16816714.390431073,0.029194022069909214,2077.252812938151,1329603636.441287
Butler County,01013,2020-03-26,0.1418217380916489,19.650535967924263,18.175805496593718,0.016125763605951603,0.5507943181277346,1.09718095746006
Calhoun County,01015,2020-03-19,0.11419195236842863,19.705745284471803,75.20273609218539,0.010567018270828453,0.46545291793116716,2.464428690348218
Chambers County,01017,2020-03-20,0.09620714088350335,19.736855424684734,269.0981880985838,0.0036983288682965634,0.25467295831510006,4.765053573348016
Cherokee County,01019,2020-03-26,0.06785225456880245,15.298781476845633,14.591845666964202,0.007454211479340083,1.2759124660865049,1.1349671647753263
Chilton County,01021,2020-03-26,0.059119699500758724,16.198199971738536,54.04995184220608,0.0028512233694161066,0.7125384308855937,2.1668690510816924
Choctaw County,01023,2020-03-27,0.04015442670942183,34.724577255012086,58.78809615073428,0.009029041926836776,11.138657567364497,35.64856105800051
Clarke County,01025,2020-04-02,0.11839980060520151,7.751296430730456,25.360581250138065,0.009994232904823656,0.3672513202066,0.7609661983536254
Clay County,01027,2020-03-26,0.07633192497228333,13.62967012541859,19.44618605801367,0.009959293382949676,1.1473913566208964,1.410312453631883
Cleburne County,01029,2020-03-26,0.11350363642304542,7.166434982888561,12.290811055720182,0.011903138651232745,0.42018829016705944,0.29563954325721936
Coffee County,01031,2020-04-03,0.10599676906129471,12.939185837068433,83.49843511511608,0.009706821424570255,0.7745555885023723,6.286890438738154
Colbert County,01033,2020-03-26,0.03331468919033564,41.012994438155104,68.50993791379898,0.00886783346264546,17.084419193116933,55.29621278665592
Conecuh County,01035,2020-04-02,0.0769005834702749,14.429167483642209,14.142602031292165,0.014512142249646962,2.5744182676571055,2.8094905892112285
Coosa County,01037,2020-03-27,0.07153691212992809,16.677891877106042,29.092165930201567,0.00824764838119441,1.4401642204858127,2.7833070814027367
Covington County,01039,2020-03-28,0.06757198803252559,20.672333203418084,38.67280424032938,0.0063467474946961415,1.7089252699248492,4.711418265287718
Crenshaw County,01041,2020-03-27,0.02991625398856312,55.145744948474366,57.774759853404476,0.0167555466537177,51.577331020963726,149.06677406588997
Cullman County,01043,2020-03-21,0.07228186967730126,21.77721700122059,64.20692369680991,0.005561139089508205,0.9356413109347231,3.908897244719353
Dale County,01045,2020-04-02,0.08847731821642414,15.272358261317915,29.48402354968923,0.010548674891880105,1.460069628789285,3.8051207241713416
Dallas County,01047,2020-03-26,0.056532711648580564,25.97877846682169,53.581668387328065,0.007956826957659324,3.718197052610438,13.019479729268284
DeKalb County,01049,2020-03-27,0.031611393482870696,55.87946754105983,564.1207576460172,0.00791619106244264,22.814327404016666,701.3785304532756
Elmore County,01051,2020-03-14,0.017923229611988497,141.70714060984645,15614.707229656731,0.005401563068658206,74.32900734720275,50213.51296628552
Escambia County,01053,2020-03-28,0.08055094471103608,19.219653317839743,22.865483847289873,0.005210448345277395,0.8587791556615543,1.5597511187608861
Etowah County,01055,2020-03-26,0.09641669066236612,15.14617921794629,110.51219539589128,0.00671153158311351,0.4806986439397882,3.921722322695668
Fayette County,01057,2020-03-31,0.14013677103418554,9.998473649699253,4.25198340536241,0.02919996735666749,0.823788710599558,0.293673885978302
Franklin County,01059,2020-03-24,0.04195192011384405,33.279950344908656,50.764584299643886,0.010268053078653899,10.38697071270142,28.124068664797154
Geneva County,01061,2020-04-12,0.16209543338704244,6.053633150842942,5.4806160187327935,0.05572608720852156,1.6341517061120725,1.321183884859694
Greene County,01063,2020-03-28,0.04033192869418207,38.94685467182501,162.81039450119113,0.008324036161726259,11.757349008522613,114.13973976974046
Hale County,01065,2020-03-31,0.07113647678339305,21.293442040785084,62.40508593379594,0.009549830342170431,2.7973989828818353,14.28823620321383
Henry County,01067,2020-04-04,0.11783279802804758,8.069701156541829,19.862324764841915,0.009895347141304967,0.41060329986299254,0.743669338900173
Houston County,01069,2020-03-24,0.07763221055801947,20.189055774754443,87.48056971445138,0.0033096757075155156,0.499436781838772,3.104137278136424
Jackson County,01071,2020-03-21,0.05996385473671114,23.450688275716356,52.8595964488201,0.003289993242155394,0.9578285655727137,2.9779447940890242
Jefferson County,01073,2020-03-14,0.07110156990748649,21.050858085637742,723.4647726407507,0.0018339698986887308,0.23220023234599166,8.790717487434517
Lamar County,01075,2020-03-21,0.15814059558523055,16.906877747811233,8.460315785751126,0.017784828924268966,0.3801753258840446,0.23766182448331513
Lauderdale County,01077,2020-03-21,0.07119541815500564,10.669577872110267,24.00633640999024,0.006772481787459978,0.6390527626658741,0.7709173239397756
Lawrence County,01079,2020-03-26,0.06644691897742827,9.877065041920194,10.396408515028778,0.013653734121630458,1.5968452168881346,0.9409459313280152
Lee County,01081,2020-03-16,0.06970146331254057,24.661332165212055,369.80181319363834,0.00405382145520337,0.6784526881221791,15.087069080728975
Limestone County,01083,2020-03-14,0.1132247039484232,17.13855553866523,38.55865655863615,0.006104524900829546,0.2541470677943287,0.5155526028797004
Lowndes County,01085,2020-03-27,0.09253381240473345,18.58798951844482,38.10745417528693,0.0064594371285110926,0.6772340276036949,2.1659204725474845
Macon County,01087,2020-03-30,0.1018963251129084,14.392121537340978,30.47841158062456,0.009499877281590683,0.705035625195861,1.8494124652703858
Madison County,01089,2020-03-18,0.08356861166660516,15.715920219549766,214.89315503295154,0.00358888452912446,0.29028189392201026,3.3268746639944444
Marengo County,01091,2020-03-27,0.048849626786838206,23.913146545991136,60.32704200909513,0.010672039441060785,6.291207697850461,21.062560679029072
Marion County,01093,2020-03-22,0.09695964818096942,18.907817209479887,69.89724509317985,0.008875325914659452,0.6280347135036481,3.2080156451039175
Marshall County,01095,2020-03-26,0.05230327747274992,33.51132861424395,625.9584044597513,0.01243666027131016,9.101000666448396,403.43418379821117
Mobile County,01097,2020-03-20,0.10543708225177657,22.652436932662333,760.4681922068079,0.00442385667975956,0.2741022123385356,17.019608943604247
Monroe County,01099,2020-03-29,0.07690595625474593,8.566340126186692,8.924337058437214,0.014141221669229386,1.1895681558825058,0.6803678190561536
Montgomery County,01101,2020-03-14,0.0599279519834946,34.70438317906023,387.79550802840424,0.00469391926572158,1.6957420706720872,42.323191609577705
Morgan County,01103,2020-03-25,0.06071734192121646,11.690063208332255,53.84699467187137,0.003633649689189885,0.5850391620577733,1.6926656336067802
Perry County,01105,2020-04-05,0.2089463227778205,5.441742634428475,9.050849316214283,0.015974796514161206,0.18500722692462085,0.18143373815536012
Pickens County,01107,2020-03-26,0.05876711067313998,22.716831498312597,64.67696571367858,0.006450469865565982,2.3790321320725196,9.719522271627692
Pike County,01109,2020-03-26,0.012950552412731783,283.3666535775081,34327736.27403493,0.017492533959438655,740.9613867006861,1214370445.7195241
Randolph County,01111,2020-03-28,0.10660202219964639,15.588330665620221,63.31854955383336,0.007605456045834364,0.48027631852441455,2.599284720535238
Russell County,01113,2020-03-26,0.08460366941215691,20.390072977036596,61.86076771962739,0.005409535374655767,0.7526010815876426,3.749821001042185
St. Clair County,01115,2020-03-18,0.06738061348705776,21.457522348465467,64.02435336408631,0.002704941220578381,0.46359592633574187,1.6991242635718333
Shelby County,01117,2020-03-16,0.06519000355290801,21.973972837593777,299.05264588461824,0.0024316140184745126,0.4271389056846685,6.912813258037426
Sumter County,01119,2020-03-31,0.06892802636601533,16.98918715432484,62.08932029006478,0.007768322639341965,1.8710112021791405,8.286306463748282
Talladega County,01121,2020-03-19,0.08609240181474812,21.439396498098482,51.69831265545604,0.0042044787822979705,0.39794319733699735,1.3929576809150461
Tallapoosa County,01123,2020-03-24,0.08570473394964827,24.788798586656718,323.2574423661934,0.007443979554399576,1.1789024378710815,33.32819332354701
Tuscaloosa County,01125,2020-03-14,0.07100332035970913,27.46659164233219,184.22588597388662,0.0034182109189300892,0.5676693894181227,6.494151921012426
Walker County,01127,2020-03-20,0.08910607192433398,14.96704573156021,90.46603362725934,0.00505849241829197,0.36045026649377576,1.8505122695098648
Washington County,01129,2020-03-21,0.05941656726792093,22.477656235746753,21.394280333131146,0.006154137959062175,1.741302443906195,2.1337299915200303
Wilcox County,01131,2020-03-26,0.09086237510182382,18.535623346380092,57.82945244725608,0.0062490687929617605,0.6406966161708737,2.967646905486944
Winston County,01133,2020-03-28,0.011854978396546714,292.24900984084786,2721816.019130125,0.040765385762559364,1970.987690981294,225015313.76476863
Municipality of Anchorage,02020,2020-03-13,0.06639385564399856,23.431408357503038,167.63303374226396,0.0034100099016853447,0.5420688826573384,4.772792560683155
Bethel Census Area,02050,2020-04-08,8.131945879545852e-29,0.0,2.0,inf,inf,inf
Fairbanks North Star Borough,02090,2020-03-17,0.09767424732755635,16.459642988213144,81.26883643185248,0.004040174736384079,0.23340560630092055,1.0381837865728676
City and Borough of Juneau,02110,2020-03-24,0.05258069631034797,18.213130126217866,32.47745404302187,0.00717045382532169,2.416541476567845,4.024611862368838
Kenai Peninsula Borough,02122,2020-03-19,0.05775666997175827,15.871843949175412,18.86419012961808,0.004164002269211635,0.8035113604200897,0.7342685766501996
Ketchikan Gateway Borough,02130,2020-03-18,0.15601430247988599,6.208205921396486,14.587318629736425,0.011309764773503823,0.21756596775249426,0.15660834843843335
Kodiak Island Borough,02150,2020-04-17,-1.5009099296653198e-28,0.0,2.0,inf,inf,inf
Matanuska-Susitna Borough,02170,2020-03-24,0.06663621390064227,22.310860991733183,26.740698204087177,0.010739639308959766,2.6609610712747,4.742673083900484
Nome Census Area,02180,2020-04-16,1.2100722709942456e-28,0.0,2.0,inf,inf,inf
Petersburg Census Area,02195,2020-04-05,0.007919945556402193,435.5923123674252,1284149.5509933992,0.12665010219083794,14118.915708330485,521835745.1427078
Prince of Wales-Hyder Census Area,02198,2020-04-12,0.4669167652669597,1.3392337047291745,2.0190458903079627,0.1363581879545509,0.24824720081817706,0.06377582146591175
Southeast Fairbanks Census Area,02240,2020-04-04,-5.761782306755524e-29,0.0,2.0,inf,inf,inf
Yukon-Koyukuk Census Area,02290,2020-04-03,5.345205097393695e-29,0.0,2.0,inf,inf,inf
Apache County,04001,2020-03-22,0.043744509624768155,50.8867616659139,2019.1476543630797,0.006238338704339907,9.077001533766166,1346.9274218297162
Cochise County,04003,2020-03-22,0.03367736376898997,52.65360840588866,189.10883300223946,0.005603968643221819,12.707327968923668,128.7544980361698
Coconino County,04005,2020-03-19,0.06994610942491383,20.83425440113704,376.29382244389336,0.0024215820362668335,0.3823756501318778,8.511179292377136
Gila County,04007,2020-03-29,0.012896737295449925,292.2337598877569,16960711.19586167,0.036114822271773324,1593.5187522400333,1324781564.6519558
Graham County,04009,2020-03-15,0.12626529830685207,8.744788700024925,4.0594139254509525,0.01400525055509003,0.4297310368390276,0.0792184024829097
Greenlee County,04011,2020-03-31,0.05869747516338025,7.015629478629461,2.3728772148989297,0.023154764355714785,3.3293032760732832,0.46649711457219134
La Paz County,04012,2020-03-27,0.030129955925997577,26.706706091854823,11.692619542035333,0.0101916936895342,15.922061446484395,6.5927198843958355
Maricopa County,04013,2020-01-27,0.06857337713581008,72.11652528428729,2925.229872933059,0.001833631162593739,0.29985327971599024,50.17036109725801
Mohave County,04015,2020-03-27,0.07737915082217875,17.016773688235233,71.01803276518959,0.005634518669616325,0.833035418584832,4.1863232264627595
Navajo County,04017,2020-03-18,0.06851350446955246,23.834471400745116,571.6713938984892,0.002244572345928724,0.4150351924136685,14.522972843496174
Pima County,04019,2020-03-10,0.06465864050173557,32.69605703248047,1146.639572760482,0.0021645992646993806,0.48756248695122567,33.480796268041296
Pinal County,04021,2020-03-07,0.04356137752413991,44.063110359890544,485.676293727262,0.0022282518565766045,1.7673414110415604,43.20926482160257
Santa Cruz County,04023,2020-03-20,0.014394897377901854,281.261077536894,108212648.4008476,0.005381694883999769,197.04091629555566,1203903759.8773062
Yavapai County,04025,2020-03-20,0.11798696689884088,14.84965312343832,71.33740146850593,0.003564090394237211,0.13860259359973773,0.5968054027992953
Yuma County,04027,2020-03-21,0.04691540406776209,20.893680189952658,33.50656429445918,0.009548063577848015,4.252385712119593,6.62263911234796
Arkansas County,05001,2020-03-30,2.0453954550878792e-29,0.0,4.0,inf,inf,inf
Ashley County,05003,2020-03-30,0.12790442451990677,8.503436442535387,12.011915951922147,0.011425381907424047,0.35869072822425097,0.31437788805323136
