County,Fips,start_date,a,B,p,a_e,B_e,p_e
Autauga County,01001,2020-03-25,0.010585057905027841,275.00249657531526,39486.38207821256,0.11674007542761931,6161.945844326426,8029035.642795045
Baldwin County,01003,2020-03-15,0.010581974242711156,346.02498537623046,5068060.887235937,0.04281567653642933,2792.057199482586,564973258.1950423
Barbour County,01005,start_date,,,,,,
Bibb County,01007,start_date,,,,,,
Blount County,01009,start_date,,,,,,
Bullock County,01011,start_date,,,,,,
Butler County,01013,start_date,,,,,,
Calhoun County,01015,2020-03-19,0.23474248092125483,1.99711673313666,3.234889118585503,0.12599211445248734,0.853262835254291,0.6132792481615268
Chambers County,01017,2020-03-20,0.016411216656609526,114.9345690508169,857.2696020948591,0.020341582196631666,279.8863539348548,8235.780747315996
Cherokee County,01019,start_date,,,,,,
Chilton County,01021,start_date,,,,,,
Choctaw County,01023,start_date,,,,,,
Clarke County,01025,start_date,,,,,,
Clay County,01027,start_date,,,,,,
Cleburne County,01029,2020-03-26,0.0,0.0,2.0,inf,inf,inf
Coffee County,01031,start_date,,,,,,
Colbert County,01033,2020-03-26,3.388880199481616e-29,0.0,2.0,inf,inf,inf
Conecuh County,01035,start_date,,,,,,
Coosa County,01037,2020-03-27,-3.648505171258469e-29,0.0,2.0,inf,inf,inf
Covington County,01039,2020-03-28,1.2100722709942456e-28,0.0,2.0,inf,inf,inf
Crenshaw County,01041,start_date,,,,,,
Cullman County,01043,2020-03-21,6.972534811470793e-29,0.0,2.0,inf,inf,inf
Dale County,01045,start_date,,,,,,
Dallas County,01047,2020-03-26,0.0,0.0,4.0,inf,inf,inf
DeKalb County,01049,2020-03-27,4.462493571570117,1.0000000000045906,2.0000000000462306,inf,inf,inf
Elmore County,01051,2020-03-14,-1.5009099296653198e-28,0.0,2.0,inf,inf,inf
Escambia County,01053,start_date,,,,,,
Etowah County,01055,2020-03-26,0.13126135765508767,7.217714025441653,8.1871058408885,0.010470560515764607,0.2981283288587928,0.1874781300831227
Fayette County,01057,start_date,,,,,,
Franklin County,01059,2020-03-24,4.2405569584244925e-29,0.0,2.0,inf,inf,inf
Geneva County,01061,start_date,,,,,,
Greene County,01063,start_date,,,,,,
Hale County,01065,2020-03-31,-9.653037349222922e-29,0.0,2.0,inf,inf,inf
Henry County,01067,start_date,,,,,,
Houston County,01069,2020-03-24,0.03724846581216015,31.77132174164777,11.316021809337943,0.03624897339388855,51.96121290746149,29.915741757077093
Jackson County,01071,2020-03-21,0.03566320789765879,13.234971353652798,2.7802864807644836,0.017307544740480334,10.376549865382017,1.0662879109375323
Jefferson County,01073,2020-03-14,0.04135298339847865,23.515310032666626,63.24207099513933,0.013533285374924663,12.377582675136834,39.26003141035945
Lamar County,01075,start_date,,,,,,
Lauderdale County,01077,2020-03-21,0.08204910987831679,10.904394813626554,4.3404730947912284,0.01152120807958294,0.9304618882632657,0.24777225764713437
Lawrence County,01079,start_date,,,,,,
Lee County,01081,2020-03-16,0.03866625689703851,40.12120172477379,104.95162053119495,0.011060779545714656,17.964943818003594,111.83151566279673
Limestone County,01083,start_date,,,,,,
Lowndes County,01085,start_date,,,,,,
Macon County,01087,2020-03-30,0.08307242857026435,5.028349258566808,2.3293797738126902,0.03711739785387181,2.4916066310826626,0.48110367869740783
Madison County,01089,2020-03-18,0.06844298584111638,14.493959491016941,4.74336621832705,0.011427020371391193,1.8107706636929548,0.5192347924937812
Marengo County,01091,2020-03-27,0.011404875538677486,321.19694795482167,5010964.25257643,0.10616821415229424,6005.605619350796,1307802003.9698908
