Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
20040101,4,1,2,1,19,0,0,0,0,10,1,0,0,7,2,1,0,1,0,0,0,4,2,4,5,1,1,1,0,0,1,3,7,4,0,5,3,3,7,0,7,0,4,15,1,1,1,1,1,7,0
20040102,5,1,3,3,9,1,0,1,0,7,3,1,0,9,4,3,1,1,2,0,2,0,1,0,3,2,0,1,2,0,0,2,0,3,0,2,1,0,1,0,3,0,4,7,0,0,2,1,1,4,1
20040103,4,1,5,0,6,3,0,0,1,7,3,0,1,2,1,0,2,0,0,0,1,1,2,2,2,3,0,1,3,2,3,1,1,5,0,5,4,1,7,0,1,0,6,8,0,0,4,1,1,1,1
20040104,6,0,4,1,8,0,0,0,0,11,2,0,1,3,1,2,3,1,1,1,2,0,1,1,3,4,0,0,1,0,0,0,3,9,0,4,2,1,4,0,4,0,1,4,0,0,4,3,2,2,0
20040105,4,1,1,1,7,0,0,0,0,9,9,1,0,3,2,0,0,2,2,1,2,2,1,0,1,1,0,0,1,0,0,1,3,3,0,4,2,1,2,0,2,0,3,4,0,0,1,0,0,5,1
20040106,4,0,2,1,11,3,2,1,0,9,2,0,1,0,0,0,0,1,1,2,1,0,2,1,2,2,0,0,2,0,1,2,5,2,0,2,2,0,2,0,5,1,2,5,0,0,0,0,2,1,0
20040107,2,0,3,2,6,0,0,1,0,6,1,0,1,0,0,3,1,1,2,0,1,2,3,1,1,1,1,0,0,0,1,0,3,4,0,4,1,0,2,0,0,0,0,4,0,0,0,1,0,0,2
20040108,3,1,2,0,4,0,1,0,0,9,3,0,0,4,1,1,0,1,1,2,2,1,3,0,0,2,0,1,0,1,3,1,2,2,0,5,1,0,4,0,1,1,0,9,0,0,0,2,1,1,0
20040109,1,0,3,1,15,2,0,0,0,8,6,1,0,1,3,1,0,3,0,1,1,3,1,2,1,1,0,1,1,2,1,0,6,2,1,2,1,1,4,1,4,1,3,12,0,0,5,1,1,3,0
20040110,0,1,3,3,15,1,2,0,1,6,5,0,2,2,1,1,0,1,1,0,2,1,1,1,1,1,1,0,0,0,0,2,6,2,1,5,5,0,4,1,6,1,5,5,1,0,1,3,1,1,0
20040111,3,0,3,0,10,4,0,2,0,9,0,2,1,2,1,0,0,1,4,0,1,0,5,1,1,2,0,0,1,1,4,1,5,4,0,2,1,0,4,0,3,0,1,13,0,0,0,2,0,4,0
20040112,0,0,1,1,10,2,0,0,0,8,6,0,0,2,3,0,1,3,2,2,1,1,4,0,3,2,1,2,1,0,0,0,8,3,0,2,3,0,5,0,2,0,2,8,2,0,2,1,0,1,0
20040113,0,1,3,0,8,0,1,0,0,5,5,0,1,3,1,0,1,1,6,1,4,0,4,1,2,2,0,0,1,0,2,0,6,3,0,1,3,2,5,0,3,0,1,9,0,0,3,1,0,0,0
20040114,4,0,1,2,8,2,1,0,0,7,4,1,0,2,3,0,1,2,3,1,0,0,0,2,1,2,0,0,1,0,1,0,4,5,0,3,1,0,3,0,2,1,1,10,0,0,3,1,0,2,0
20040115,2,0,1,2,6,0,0,1,0,2,3,0,0,5,1,0,2,2,1,1,2,1,3,0,3,4,0,1,2,0,1,3,1,2,1,0,3,1,2,0,3,0,3,13,1,0,2,1,1,2,0
20040116,3,0,4,0,11,0,1,0,0,14,3,1,0,3,3,3,0,2,5,0,0,1,2,0,3,6,0,0,0,2,1,0,2,4,0,5,4,0,9,1,1,0,3,14,0,0,1,0,2,3,0
20040117,5,0,0,2,13,1,3,0,0,13,5,1,0,1,2,0,0,1,2,0,1,0,3,3,2,2,2,1,2,0,3,2,2,2,0,3,1,1,0,1,2,1,5,7,0,0,4,1,0,0,0
20040118,1,0,0,2,8,1,0,2,1,9,4,0,0,1,0,1,1,2,5,1,1,3,1,0,3,4,0,0,0,2,4,1,6,4,1,2,1,0,10,0,1,0,3,10,0,1,4,0,3,2,0
20040119,1,0,2,0,6,4,0,0,0,11,5,0,1,1,2,1,1,0,4,1,1,2,5,1,0,2,0,2,0,0,2,0,3,4,0,1,2,0,3,0,4,0,0,8,0,1,3,0,1,1,0
20040120,3,0,3,2,10,2,2,0,0,5,3,0,0,0,2,0,2,1,1,0,5,2,3,2,4,1,0,0,1,0,0,3,4,2,0,1,1,0,6,0,1,0,4,5,0,0,2,2,1,0,0
20040121,1,0,3,0,6,1,1,0,0,5,4,0,1,4,1,1,1,2,1,2,0,0,3,1,0,2,1,0,1,0,3,1,2,4,1,6,3,0,5,0,0,1,1,6,0,0,2,0,2,3,1
20040122,2,0,2,0,10,0,1,0,1,12,2,0,1,2,1,1,1,1,2,1,3,0,2,2,1,0,0,0,2,0,1,3,3,4,0,6,2,1,5,0,1,0,3,10,0,1,2,3,0,0,0
20040123,4,0,3,3,7,5,0,0,0,12,0,0,0,4,2,2,0,1,3,1,0,2,3,1,2,1,0,0,0,0,2,0,6,3,1,2,0,0,1,0,3,0,5,7,0,0,1,1,1,4,0
20040124,4,0,3,4,14,1,0,0,0,7,5,0,1,4,2,2,3,2,2,0,1,1,5,1,0,5,0,0,0,2,3,2,4,2,1,8,1,1,4,0,4,0,3,6,0,0,2,2,3,2,0
20040125,0,1,4,3,18,3,2,1,0,12,3,0,0,3,2,1,1,0,1,2,0,3,3,2,2,5,0,3,0,1,2,0,7,7,0,3,3,0,4,0,4,0,0,12,1,0,1,1,4,2,0
20040126,3,0,2,0,9,3,0,0,0,5,3,1,0,1,1,1,0,2,2,0,2,2,3,2,1,2,0,0,0,0,1,0,1,1,0,3,4,1,2,1,3,0,2,1,0,0,4,2,0,2,0
20040127,2,0,1,2,10,2,1,0,0,6,3,0,1,5,4,0,1,2,0,0,3,1,4,1,0,1,0,1,0,0,1,0,3,1,1,4,0,0,4,1,2,0,1,10,1,0,3,1,0,3,0
20040128,1,0,3,0,9,1,1,0,0,5,3,0,1,1,1,0,0,2,3,1,2,1,1,1,3,2,0,0,0,0,1,0,3,1,0,3,2,0,4,0,0,0,3,11,0,0,0,0,0,2,0
20040129,2,0,0,1,6,4,2,0,0,3,3,0,0,5,1,2,0,2,1,1,1,0,3,2,1,5,1,0,0,0,0,2,3,2,0,2,0,0,0,0,6,0,3,7,0,0,1,1,0,1,0
20040130,4,0,3,1,7,0,0,0,0,11,4,0,1,6,2,0,0,3,2,1,0,2,1,0,1,2,0,1,1,1,3,0,4,4,0,0,1,2,3,0,3,0,1,13,2,0,1,2,0,0,0
20040131,5,0,4,6,15,3,0,0,0,11,7,1,0,4,0,0,1,4,5,1,2,0,1,0,3,2,0,1,1,0,4,0,3,4,0,4,1,2,3,0,0,0,7,12,0,0,3,0,1,4,1
